#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
PTGER3	5733	13	13	#	1	176806	#	#
PTGR2	145482	11	11	#	1	608642	#	#
PTPN12	5782	12	12	1	1	600079	#	#
PTPN13	5783	17	17	#	1	600267	#	#
PTPN18	26469	11	11	#	1	606587	#	#
PTPN23	25930	5	5	3	1	606584	0	1
PTPRB	5787	9	9	#	1	176882	#	#
PTPRF	5792	6	6	1	1	179590	#	#
PTPRG	5793	4	4	#	1	176886	#	#
PTPRK	5796	6	6	#	1	602545	#	#
PTPRM	5797	82	75	#	1	176888	#	#
PTPRU	10076	6	6	#	1	602454	#	#
PTPRZ1	5803	15	14	2	1	176891	0	1
PUS10	150962	20	19	#	1	612787	#	#
PVT1	5820	27	27	#	1	165140	#	#
PWAR6	100506965	222	212	#	1	#	#	#
PWWP2A	114825	9	9	#	1	#	#	#
QKI	9444	31	30	#	1	609590	#	#
RAB12	201475	68	61	#	1	616448	#	#
RAB27B	5874	43	40	#	1	603869	#	#
RAB2A	5862	18	18	#	1	179509	#	#
RAB31	11031	64	57	#	1	605694	#	#
RAB3IP	117177	5	5	#	1	608686	#	#
RAB40A	142684	130	124	#	1	#	#	#
RAB40C	57799	30	30	#	1	#	#	#
RABGAP1	23637	25	23	#	1	615882	#	#
RAC2	5880	25	24	8	1	602049	0	1
RAD18	56852	33	33	#	1	605256	#	#
RADIL	55698	25	25	#	1	611491	#	#
RALGAPA1	253959	22	22	1	1	608884	#	#
RAMP1	10267	50	50	#	1	605153	#	#
RANBP10	57610	18	18	#	1	614031	#	#
RANBP9	10048	17	17	#	1	603854	#	#
RANGAP1	5905	16	15	#	1	602362	#	#
RAP1A	5906	4	4	#	1	179520	#	#
RAP2C-AS1	101928578	89	83	#	1	#	#	#
RAPGEF4	11069	11	11	#	1	606058	#	#
RAPGEF5	9771	18	18	#	1	609527	#	#
RAPGEF6	51735	9	9	#	1	610499	#	#
RARG	5916	8	8	1	1	180190	#	#
RASA2	5922	14	14	3	1	601589	0	2
RASGRP1	10125	9	9	#	1	603962	#	#
RASGRP2	10235	7	7	6	1	605577	0	3
RBKS	64080	8	8	#	1	611132	#	#
RBL2	5934	10	10	#	1	180203	#	#
RBM15B	29890	2	2	#	1	612602	#	#
RBM28	55131	15	15	1	1	612074	#	#
RBM42	79171	5	5	#	1	613232	#	#
RBM44	375316	51	51	#	1	#	#	#
RBM47	54502	8	8	#	1	#	#	#
RBMS3	27303	7	7	#	1	605786	#	#
